table_source;colonne_source;type_source;decision_table;table_cible;colonne_cible;decision_colonne;regle_migration;raison_detaillee;impact_fonctionnel;prerequis_controle;niveau_confiance;classification_audit_initiale;recommandation_audit_initiale;source_decision
utilisateur_app;id;BIGINT;RENOMMER_ET_SIMPLIFIER;administrateur;id;RENOMMER_TABLE;Insérer id dans administrateur.id.;Donnée utile à la gestion des administrateurs.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
utilisateur_app;login_utilisateur;NVARCHAR(150);RENOMMER_ET_SIMPLIFIER;administrateur;identifiant;RENOMMER;Copier et normaliser en minuscules si le SI l’impose.;"Nom plus clair ; correspond au login SSO.";Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
utilisateur_app;nom;NVARCHAR(150);RENOMMER_ET_SIMPLIFIER;administrateur;nom;RENOMMER_TABLE;Insérer nom dans administrateur.nom.;Donnée utile à la gestion des administrateurs.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
utilisateur_app;prenom;NVARCHAR(150);RENOMMER_ET_SIMPLIFIER;administrateur;prenom;RENOMMER_TABLE;Insérer prenom dans administrateur.prenom.;Donnée utile à la gestion des administrateurs.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
utilisateur_app;email;NVARCHAR(255);RENOMMER_ET_SIMPLIFIER;administrateur;email;RENOMMER_TABLE;Insérer email dans administrateur.email.;Donnée utile à la gestion des administrateurs.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
utilisateur_app;actif;BIT;RENOMMER_ET_SIMPLIFIER;administrateur;est_actif;RENOMMER;Conversion BIT directe.;Convention booléenne explicite.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
utilisateur_app;date_creation;DATETIME2(0);RENOMMER_ET_SIMPLIFIER;administrateur;cree_le;RENOMMER;Copie directe.;Convention d’audit homogène.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
utilisateur_app;date_modification;DATETIME2(0);RENOMMER_ET_SIMPLIFIER;administrateur;modifie_le;RENOMMER;Copie directe.;Convention d’audit homogène.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
ListeCR;Id;BIGINT;REDUIRE_ET_RENOMMER;caisse_regionale;id;RENOMMER;Conserver l’identifiant ou reconstruire une table de correspondance.;Clé technique normalisée.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Utilisée ou nécessaire à une table utilisée;Conserver;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
ListeCR;CodeCR;NVARCHAR(50);REDUIRE_ET_RENOMMER;caisse_regionale;code;RENOMMER;Nettoyer, dédoublonner et imposer une unicité.;Code métier principal du référentiel.;Aucun impact écran si le mapping applicatif est adapté.;Valider en recette fonctionnelle.;ÉLEVÉE;Aucun usage métier confirmé;Candidate à suppression après validation fonctionnelle;Code Symfony + create_copy.sql + captures SSMS + mail/cahier de besoins
